split,scope,episode_id,label_category,anomaly_type,sensors,stations,cluster,start_utc,end_utc,affected_rows,random_seed,description,i10_domain,i10_lane,i10_seed,severity,stream_action
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0001,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-09-10T12:00:00+00:00,2022-09-11T16:00:00+00:00,196,26083,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0002,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-05-01T02:00:00+00:00,2022-05-02T02:00:00+00:00,169,26083,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0003,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-02-05T03:00:00+00:00,2022-02-05T21:30:00+00:00,129,26083,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0004,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-02-17T20:00:00+00:00,2022-02-18T13:00:00+00:00,128,26083,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0005,genuine_weather_scenario,pressure_front,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-07-16T00:30:00+00:00,2022-07-17T01:00:00+00:00,176,26083,Coherent pressure_front across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0006,genuine_weather_scenario,pressure_front,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-11-20T18:30:00+00:00,2022-11-21T09:30:00+00:00,108,26083,Coherent pressure_front across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0007,genuine_weather_scenario,humidity_surge,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-11-12T12:30:00+00:00,2022-11-13T19:00:00+00:00,223,26083,Coherent humidity_surge across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0008,genuine_weather_scenario,humidity_surge,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-03-16T06:30:00+00:00,2022-03-17T03:00:00+00:00,143,26083,Coherent humidity_surge across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0009,genuine_weather_scenario,dry_intrusion,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-06-26T17:00:00+00:00,2022-06-27T19:00:00+00:00,186,26083,Coherent dry_intrusion across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0010,genuine_weather_scenario,dry_intrusion,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-09-12T12:00:00+00:00,2022-09-13T01:30:00+00:00,69,26083,Coherent dry_intrusion across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0011,genuine_weather_scenario,multivariate_storm,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-03-04T18:30:00+00:00,2022-03-05T21:30:00+00:00,194,26083,Coherent multivariate_storm across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0012,genuine_weather_scenario,multivariate_storm,"temperature,pressure,humidity","42705699999,43284099999,43295099999,43302599999,43321099999",india_bengaluru,2022-10-26T08:30:00+00:00,2022-10-27T10:30:00+00:00,182,26083,Coherent multivariate_storm across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0013,sensor_fault,bias,temperature,42705699999,india_bengaluru,2022-06-13T02:00:00+00:00,2022-06-14T07:00:00+00:00,59,26083,bias applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0014,sensor_fault,bias,pressure,42705699999,india_bengaluru,2022-01-14T16:30:00+00:00,2022-01-15T13:00:00+00:00,42,26083,bias applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0015,sensor_fault,bias,pressure,43321099999,india_bengaluru,2022-12-04T07:00:00+00:00,2022-12-05T11:30:00+00:00,58,26083,bias applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0016,sensor_fault,bias,temperature,43302599999,india_bengaluru,2022-10-20T03:30:00+00:00,2022-10-21T12:00:00+00:00,45,26083,bias applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0017,sensor_fault,drift,temperature,43321099999,india_bengaluru,2022-04-03T04:00:00+00:00,2022-04-04T17:00:00+00:00,68,26083,drift applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0018,sensor_fault,drift,temperature,42705699999,india_bengaluru,2022-03-23T07:00:00+00:00,2022-03-24T08:00:00+00:00,50,26083,drift applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0019,sensor_fault,drift,temperature,43295099999,india_bengaluru,2022-06-19T09:00:00+00:00,2022-06-19T21:00:00+00:00,5,26083,drift applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0020,sensor_fault,drift,temperature,42705699999,india_bengaluru,2022-06-09T08:00:00+00:00,2022-06-10T00:00:00+00:00,33,26083,drift applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0021,sensor_fault,frozen_sensor,pressure,43295099999,india_bengaluru,2022-07-24T00:00:00+00:00,2022-07-25T09:00:00+00:00,12,26083,frozen_sensor applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0022,sensor_fault,frozen_sensor,pressure,43321099999,india_bengaluru,2022-03-21T21:00:00+00:00,2022-03-22T23:00:00+00:00,48,26083,frozen_sensor applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0023,sensor_fault,frozen_sensor,temperature,43321099999,india_bengaluru,2022-12-17T07:30:00+00:00,2022-12-17T21:00:00+00:00,28,26083,frozen_sensor applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0024,sensor_fault,frozen_sensor,pressure,43302599999,india_bengaluru,2022-11-25T00:00:00+00:00,2022-11-26T18:00:00+00:00,62,26083,frozen_sensor applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0025,sensor_fault,spike,humidity,43284099999,india_bengaluru,2022-09-28T12:30:00+00:00,2022-09-28T12:30:00+00:00,1,26083,spike applied to one humidity sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0026,sensor_fault,spike,temperature,43302599999,india_bengaluru,2022-07-27T05:00:00+00:00,2022-07-27T05:00:00+00:00,1,26083,spike applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0027,sensor_fault,spike,pressure,43284099999,india_bengaluru,2022-12-21T16:00:00+00:00,2022-12-21T16:00:00+00:00,1,26083,spike applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0028,sensor_fault,spike,humidity,43321099999,india_bengaluru,2022-04-15T12:30:00+00:00,2022-04-15T12:30:00+00:00,1,26083,spike applied to one humidity sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0029,sensor_fault,noise,humidity,43284099999,india_bengaluru,2022-05-24T22:30:00+00:00,2022-05-25T07:00:00+00:00,18,26083,noise applied to one humidity sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0030,sensor_fault,noise,temperature,43284099999,india_bengaluru,2022-04-28T13:00:00+00:00,2022-04-29T15:00:00+00:00,53,26083,noise applied to one temperature sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0031,sensor_fault,noise,humidity,43321099999,india_bengaluru,2022-02-08T02:00:00+00:00,2022-02-09T02:00:00+00:00,41,26083,noise applied to one humidity sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-FLT-0032,sensor_fault,noise,pressure,43284099999,india_bengaluru,2022-09-21T10:00:00+00:00,2022-09-22T09:30:00+00:00,47,26083,noise applied to one pressure sensor with a low-to-moderate severity ladder.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0033,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","43245099999,43279099999,43329099999",india_chennai,2022-03-04T14:00:00+00:00,2022-03-05T02:00:00+00:00,33,26083,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0034,genuine_weather_scenario,regional_heatwave,"temperature,pressure,humidity","43245099999,43275099999,43278099999,43279099999,43329099999",india_chennai,2022-02-28T03:00:00+00:00,2022-03-01T01:30:00+00:00,66,26083,Coherent regional_heatwave across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
india_meteorological_s26083_train,train,INDIA_METEOROLOGICAL_S26083_TRAIN-I8-WX-0035,genuine_weather_scenario,regional_cold_surge,"temperature,pressure,humidity","43245099999,43278099999,43279099999,43329099999",india_chennai,2022-10-03T08:00:00+00:00,2022-10-03T21:30:00+00:00,40,26083,Coherent regional_cold_surge across at least three neighbour stations with causal spatial lag.,india,meteorological,26083,,
